,Predict Price,Price
2010-11-03,0.0,0.0
2010-11-04,0.0,0.0
2010-11-05,0.0,-0.009999999999999787
2010-11-06,-0.009999999999999787,0.0
2010-11-07,0.0,-0.010000000000001563
2010-11-08,-0.010000000000001563,-1.7899999999999991
2010-11-09,-1.7899999999999991,0.0
2010-11-10,0.0,0.09999999999999964
2010-11-11,0.09999999999999964,0.09999999999999964
2010-11-12,0.09999999999999964,0.0
2010-11-13,0.0,0.0
2010-11-14,0.0,0.05000000000000071
2010-11-15,0.05000000000000071,0.0
2010-11-16,0.0,0.0
2010-11-17,0.0,0.0
2010-11-18,0.0,-0.2699999999999996
2010-11-19,-0.2699999999999996,0.0
2010-11-20,0.0,0.0
2010-11-21,0.0,0.0
2010-11-22,0.0,0.0
2010-11-23,0.0,0.0
2010-11-24,0.0,0.0
2010-11-25,0.0,0.0
2010-11-26,0.0,0.0
2010-11-27,0.0,0.0
2010-11-28,0.0,0.0
2010-11-29,0.0,0.0
2010-11-30,0.0,0.0
2010-12-01,0.0,0.0
2010-12-02,0.0,-1.3900000000000006
2010-12-03,-1.3900000000000006,0.019999999999999574
2010-12-04,0.019999999999999574,0.23000000000000043
2010-12-05,0.23000000000000043,0.0
2010-12-06,0.0,0.009999999999999787
2010-12-07,0.009999999999999787,0.019999999999999574
2010-12-08,0.019999999999999574,-0.16999999999999993
2010-12-09,-0.16999999999999993,-0.02999999999999936
2010-12-10,-0.02999999999999936,-0.009999999999999787
2010-12-11,-0.009999999999999787,-0.02999999999999936
2010-12-12,-0.02999999999999936,-0.02000000000000135
2010-12-13,-0.02000000000000135,-0.09999999999999964
2010-12-14,-0.09999999999999964,-0.05000000000000071
2010-12-15,-0.05000000000000071,-0.08999999999999986
2010-12-16,-0.08999999999999986,-0.02999999999999936
2010-12-17,-0.02999999999999936,-0.009999999999999787
2010-12-18,-0.009999999999999787,0.009999999999999787
2010-12-19,0.009999999999999787,0.040000000000000924
2010-12-20,0.040000000000000924,-0.02000000000000135
2010-12-21,-0.02000000000000135,-0.049999999999998934
2010-12-22,-0.049999999999998934,0.11999999999999922
2010-12-23,0.11999999999999922,-0.1999999999999993
2010-12-24,-0.1999999999999993,0.0
2010-12-25,0.0,0.05999999999999872
2010-12-26,0.05999999999999872,-0.03999999999999915
2010-12-27,-0.03999999999999915,-0.009999999999999787
2010-12-28,-0.009999999999999787,0.02999999999999936
2010-12-29,0.02999999999999936,0.030000000000001137
2010-12-30,0.030000000000001137,0.02999999999999936
2010-12-31,0.02999999999999936,0.0
2011-01-01,0.0,0.0
2011-01-02,0.0,-0.019999999999999574
2011-01-03,-0.019999999999999574,0.049999999999998934
2011-01-04,0.049999999999998934,0.0600000000000005
2011-01-05,0.0600000000000005,-0.02999999999999936
2011-01-06,-0.02999999999999936,0.02999999999999936
2011-01-07,0.02999999999999936,0.0
2011-01-08,0.0,0.009999999999999787
2011-01-09,0.009999999999999787,-0.03999999999999915
2011-01-10,-0.03999999999999915,-0.009999999999999787
2011-01-11,-0.009999999999999787,0.03999999999999915
2011-01-12,0.03999999999999915,0.03999999999999915
2011-01-13,0.03999999999999915,-0.10999999999999943
2011-01-14,-0.10999999999999943,0.040000000000000924
2011-01-15,0.040000000000000924,0.0
2011-01-16,0.0,-0.030000000000001137
2011-01-17,-0.030000000000001137,0.040000000000000924
2011-01-18,0.040000000000000924,0.019999999999999574
2011-01-19,0.019999999999999574,0.05000000000000071
2011-01-20,0.05000000000000071,0.10999999999999943
2011-01-21,0.10999999999999943,-0.019999999999999574
2011-01-22,-0.019999999999999574,0.09999999999999964
2011-01-23,0.09999999999999964,-0.040000000000000924
2011-01-24,-0.040000000000000924,-0.09999999999999964
2011-01-25,-0.09999999999999964,0.009999999999999787
2011-01-26,0.009999999999999787,0.120000000000001
2011-01-27,0.120000000000001,0.1999999999999993
2011-01-28,0.1999999999999993,0.22000000000000064
2011-01-29,0.22000000000000064,0.3899999999999988
2011-01-30,0.3899999999999988,0.120000000000001
2011-01-31,0.120000000000001,-0.39000000000000057
2011-02-01,-0.39000000000000057,0.019999999999999574
2011-02-02,0.019999999999999574,0.4300000000000015
2011-02-03,0.4300000000000015,-0.040000000000000924
2011-02-04,-0.040000000000000924,-0.019999999999999574
2011-02-05,-0.019999999999999574,-0.040000000000000924
2011-02-06,-0.040000000000000924,0.4300000000000015
2011-02-07,0.4300000000000015,-0.26000000000000156
2011-02-08,-0.26000000000000156,0.4900000000000002
2011-02-09,0.4900000000000002,1.9300000000000015
2011-02-10,1.9300000000000015,0.6899999999999995
2011-02-11,0.6899999999999995,2.929999999999998
2011-02-12,2.929999999999998,0.3000000000000007
2011-02-13,0.3000000000000007,1.1799999999999997
2011-02-14,1.1799999999999997,3.700000000000003
2011-02-15,3.700000000000003,-0.16000000000000014
2011-02-16,-0.16000000000000014,-0.14000000000000057
2011-02-17,-0.14000000000000057,-0.16000000000000014
2011-02-18,-0.16000000000000014,-0.16000000000000014
2011-02-19,-0.16000000000000014,-0.9299999999999997
2011-02-20,-0.9299999999999997,0.39000000000000057
2011-02-21,0.39000000000000057,0.4399999999999977
2011-02-22,0.4399999999999977,-0.7799999999999976
2011-02-23,-0.7799999999999976,0.75
2011-02-24,0.75,-0.23000000000000043
2011-02-25,-0.23000000000000043,0.1999999999999993
2011-02-26,0.1999999999999993,-0.10000000000000142
2011-02-27,-0.10000000000000142,0.10000000000000142
2011-02-28,0.10000000000000142,-0.03999999999999915
2011-03-01,-0.03999999999999915,0.029999999999997584
2011-03-02,0.029999999999997584,-0.08999999999999986
